,State,Participation,Evidence-Based Reading and Writing,Math,Total
0,Alabama,5%,593,572,1165
1,Alaska,38%,547,533,1080
2,Arizona,30%,563,553,1116
3,Arkansas,3%,614,594,1208
4,California,53%,531,524,1055
5,Colorado,11%,606,595,1201
6,Connecticut,100%,530,512,1041
7,Delaware,100%,503,492,996
8,District of Columbia,100%,482,468,950
9,Florida,83%,520,497,1017
10,Georgia,61%,535,515,1050
11,Hawaii,55%,544,541,1085
12,Idaho,93%,513,493,1005
13,Illinois,9%,559,556,1115
14,Indiana,63%,542,532,1074
15,Iowa,2%,641,635,1275
16,Kansas,4%,632,628,1260
17,Kentucky,4%,631,616,1247
18,Louisiana,4%,611,586,1198
19,Maine,95%,513,499,1012
20,Maryland,69%,536,52,1060
21,Massachusetts,76%,555,551,1107
22,Michigan,100%,509,495,1005
23,Minnesota,3%,644,651,1295
24,Mississippi,2%,634,607,1242
25,Missouri,3%,640,631,1271
26,Montana,10%,605,591,1196
27,Nebraska,3%,629,625,1253
28,Nevada,26%,563,553,1116
29,New Hampshire,96%,532,520,1052
30,New Jersey,70%,530,526,1056
31,New Mexico,11%,577,561,1138
32,New York,67%,528,523,1052
33,North Carolina,49%,546,535,1081
34,North Dakota,2%,635,621,1256
35,Ohio,12%,578,570,1149
36,Oklahoma,7%,530,517,1047
37,Oregon,43%,560,548,1108
38,Pennsylvania,65%,540,531,1071
39,Rhode Island,71%,539,524,1062
40,South Carolina,50%,543,521,1064
41,South Dakota,3%,612,603,1216
42,Tennessee,5%,623,604,1228
43,Texas,62%,513,507,1020
44,Utah,3%,624,614,1238
45,Vermont,60%,562,551,1114
46,Virginia,65%,561,541,1102
47,Washington,64%,541,534,1075
48,West Virginia,14%,558,528,1086
49,Wisconsin,3%,642,649,1291
50,Wyoming,3%,626,604,1230
