State,Participation,English,Math,Reading,Science,Composite,code
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,AL
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,AK
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,AZ
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,AR
California,31.0,22.5,22.7,23.1,22.2,22.8,CA
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,CO
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,CT
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,DE
District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,DC
Florida,73.0,19.0,19.4,21.0,19.4,19.8,FL
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,GA
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,HI
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,ID
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,IL
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,IN
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,IA
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,KS
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,KY
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,LA
Maine,8.0,24.2,24.0,24.8,23.7,24.3,ME
Maryland,28.0,23.3,23.1,24.2,2.3,23.6,MD
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,MA
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,MI
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,MN
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,MS
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,MO
Montana,100.0,19.0,20.2,21.0,20.5,20.3,MT
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,NE
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,NV
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,NH
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,NJ
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,NM
New York,31.0,23.8,24.0,24.6,23.9,24.2,NY
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,NC
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,ND
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,OH
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,OK
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,OR
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,PA
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,RI
South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,SC
South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,SD
Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,TN
Texas,45.0,19.5,20.7,21.1,20.9,20.7,TX
Utah,100.0,19.5,19.9,20.8,20.6,20.3,UT
Vermont,29.0,23.3,23.1,24.4,23.2,23.6,VT
Virginia,29.0,23.5,23.3,24.6,23.5,23.8,VA
Washington,29.0,20.9,21.9,22.1,22.0,21.9,WA
West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,WV
Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,WI
Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,WY
